0.3333	0.2	0.1429	0.1	0.05	0.0375	0.01391	0.1000	0.1500	0.1071
0.4445	0.32	0.2449	0.18	0.095	0.07219	0.02564	0.2000	0.2550	0.1913
0.1481	0.192	0.1749	0.144	0.0855	0.06677	0.02564	0.2000	0.1785	0.1503
0.0741	0.1152	0.1249	0.1152	0.077	0.06177	0.02564	0.2000	0.1666	0.1225
0.00	0.1152	0.0893	0.0922	0.0693	0.05713	0.02564	0.2000	0.1666	0.1225
0.00	0.0576	0.0892	0.0737	0.0623	0.05285	0.02564	0.1000	0.0833	0.1225
0.00	0.00	0.0893	0.0655	0.059	0.04888	0.02564	0.0000	0.0000	0.1225
0.00	0.00	0.0446	0.0655	0.059	0.04522	0.02564	0.0000	0.0000	0.0613
0.00	0.00	0.00	0.0656	0.0591	0.04462	0.02564	0.0000	0.0000	0.0000
0.00	0.00	0.00	0.0655	0.059	0.04461	0.02564	0.0000	0.0000	0.0000
0.00	0.00	0.00	0.0328	0.0591	0.04462	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.059	0.04461	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.0591	0.04462	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.059	0.04461	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.0591	0.04462	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.0295	0.04461	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.04462	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.04461	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.04462	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.04461	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.02231	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.02564	0.000	0.000	0.000
0.00	0.00	0.00	0.00	0.00	0.00	0.01177	0.000	0.000	0.000
